rank	bare	toned
1431	bojuboju	bojúbojú
1435	mẹrẹẹrin	mẹ́rẹ̀ẹ̀rin
1436	ilakaka	ìlàkàkà
1437	orooro	òróòro
1438	atamatase	atamátàsé
1439	baluu	bàlúù
1442	atẹjiṣẹ	àtẹ̀jíṣẹ́
1444	eroja	èròjà
1445	igbaradi	ìgbáradì
1446	aayo	ààyò
1447	aapọn	ààpọ̀n
1449	mọlẹbi	mọ̀lẹ́bí
1450	loorekoore	lóòrèkóòrè
1451	lafikun	láfikún
1452	ibọsẹ	ìbọ̀sẹ̀
1453	inagijẹ	ìnagijẹ
1454	karakata	káràkátà
1455	iṣura	ìṣúra
1456	tatapupu	tatapùpù
1457	alarabara	aláràbarà
1458	ayederu	ayédèrú
1459	segesege	ségesège
1460	amodi	àmódi
1462	ọgẹrẹ	ọ̀gẹ́rẹ́
1464	etido	etídò
1467	yekeyeke	yékéyéké
1469	kindinrin	kíndìnrín
1470	ongbẹ	òǹgbẹ
1471	airi	àìrí
1472	iforiti	ìforítì
1473	yinyin	yìnyín
1474	ibusun	ibùsùn
1475	ikaniyan	ìkànìyàn
1476	miliọnu	mílíọ̀nù
1478	igbafẹ	ìgbafẹ́
1479	sayẹnsi	sáyẹ́ǹsì
1480	igbabọọlu	ìgbábọ́ọ̀lù
1482	ikẹgan	ìkẹ́gàn
1483	ṣayẹwo	ṣàyẹ̀wò
1484	gbede	gbédè
1485	iloro	ìloro
1486	egbodo	ègbodò
1487	ọyan	ọyàn
1489	nipọn	nípọn
1490	ẹna	ẹnà
1491	ẹliri	ẹ̀lírí
1492	yangi	yangí
1493	iṣapa	ìṣápá
1494	kakaki	kàkàkí
1495	aikaragba	àíkàràgbá
1497	igbio	igbió
1498	ọfafa	ọ̀fàfà
1501	adiitu	àdììtú
1503	ṣẹkẹrẹ	ṣẹ̀kẹ̀rẹ̀
1504	lọrunlọrun	lọ́rùnlọ́rùn
1505	ideregbe	ìdérègbè
1506	ahọn	ahọ́n
1507	okunrun	òkùnrùn
1508	parada	paradà
1511	alawada	aláwàdà
1512	ojude	ojúde
1513	orunkun	orúnkún
1514	ekuru	èkuru
1516	ẹfa	ẹ̀fà
1519	opipi	òpìpì
1520	logbo	lógbò
1523	juba	júbà
1524	afọn	àfọ̀n
1525	itadogun	ìtàdógún
1526	ọgbẹri	ọ̀gbẹ̀rì
1527	kọbọ	kọ́bọ̀
1528	agbebọ	àgbébọ̀
1529	eeji	eéjì
1530	iyanrin	iyanrìn
1531	onisuuru	onísùúrù
1534	pitan	pìtàn
1535	igbiwo	igbiwó
1536	igara	ìgárá
1539	akere	àkèré
1541	arifin	àrífín
1545	abiya	abíyá
1546	saari	sààrì
1547	burẹwa	burẹ́wà
1548	adin	àdín
1550	salubata	sálúbàtà
1552	iganna	ìgànná
1555	akiti	akítì
1557	aawẹ	ààwẹ̀
1558	ogbogbo	ògbògbo
1560	eewo	eéwo
1561	oṣibata	òṣíbàtà
1562	saree	sàréè
1563	posi	pósí
1564	ṣẹlẹru	ṣẹ́lẹ̀rú
1565	ọwẹ	ọ̀wẹ̀
1567	niran	níran
1572	ipin	ìpín
1573	dukia	dúkìá
1574	ẹẹmeji	ẹ̀ẹ̀mejì
1575	ilari	ìlàrí
1576	gbaawẹ	gbààwẹ̀
1578	dafa	dáfá
1581	abọriṣa	abọ̀rìṣà
1582	guguru	gúgúrú
1583	ọmọlangidi	ọmọláńgidi
1584	ṣaanu	ṣàánú
1585	ejirẹ	èjìrẹ́
1586	esuru	èsúrú
1587	ewuju	ewújù
1589	ijakumọ	ìjàkùmọ̀
1590	ijalọ	ìjàlọ
1592	oloo	olóó
1593	fọto	fọ́tò
1594	timutimu	tìmùtìmù
1596	iga	ìgà
1597	onidiri	onídìrí
1598	popondo	pòpòǹdó
1599	orokun	orókún
1600	atọọle	atọ̀ọ́lé
1601	ojugba	ojúgbà
1602	olomele	olómele
1605	ṣago	ṣágo
1606	ṣaki	ṣàkì
1608	agaga	àgàgà
1609	warapa	wárápá
1610	mọmọ	mọ̀mọ́
1611	agadagodo	àgádágodo
1612	ibadi	ìbàdí
1613	aaro	ààrò
1615	iti	ìtì
1617	bantẹ	bàǹtẹ́
1618	yanyan	yányàn
1619	atipo	àtìpó
1620	ekulu	èkùlù
1623	olufẹ	olùfẹ́
1624	danwo	dánwò
1625	ogidigbo	ògìdìgbó
1626	sobiya	sòbìyà
1627	tulasi	túlàsì
1629	pana	paná
1630	suya	súyà
